City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
324,Kavaratti,IN,84.61,clear sky,10.5669,72.642,Hotels in Lakshadweep Islands
328,Guerrero Negro,MX,62.51,broken clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
329,Bambous Virieux,MU,79.0,light rain,-20.3428,57.7575,Casa Tia Villa
330,Payo,ID,74.03,overcast clouds,-3.7508,103.6372,Mess keban agung
331,Muros,ES,64.99,overcast clouds,42.7762,-9.0603,Apartment Av. Castelao
334,Phan Thiet,VN,80.58,clear sky,10.9333,108.1,Hotel Saigon-PT
335,El Carrizo,MX,80.01,overcast clouds,24.0261,-106.8814,
337,Limoux,FR,64.4,clear sky,42.9167,2.1667,Vayamundo l'Espinet
339,Galesong,ID,77.0,few clouds,-5.3166,119.3661,Sapriadi Appy
340,Umm Lajj,SA,82.15,clear sky,25.0213,37.2685,Moon light Furnished Units
341,Venado Tuerto,AR,70.0,clear sky,-33.7456,-61.9688,Hotel - Miro Park
345,Bonito,BR,70.16,overcast clouds,-21.1211,-56.4819,Marruá Hotel
346,Rawson,AR,64.65,scattered clouds,-43.3002,-65.1023,Hosteria Sampedro
347,Boulder,US,62.6,clear sky,40.0833,-105.3505,Lefthand OHV Trailhead (recgovnpsdata)
349,Kota Tinggi,MY,82.4,broken clouds,1.7381,103.8999,Canopy Tribe
352,Los Llanos De Aridane,ES,69.8,broken clouds,28.6585,-17.9182,Valle Aridane
353,Maumere,ID,79.83,overcast clouds,-8.6199,122.2111,Sylvia Hotel
354,Mantua,IT,75.0,clear sky,45.1667,10.7833,Hotel la Favorita
356,San Carlos De Bariloche,AR,64.0,clear sky,-41.1456,-71.3082,Hotel Patagonia
359,Bengkulu,ID,77.95,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
360,Lasa,IT,71.6,few clouds,46.6166,10.7002,Pension Feldgärtenhof
362,Pamanukan,ID,78.69,overcast clouds,-6.2842,107.8106,Paris Day Hotel Pamanukan
366,Salinopolis,BR,82.74,overcast clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
368,Luang Prabang,LA,75.74,overcast clouds,19.8856,102.1347,Villa Oasis
369,Beloha,MG,75.7,broken clouds,-25.1667,45.05,
370,Itoman,JP,68.0,clear sky,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
371,Caramay,PH,77.29,scattered clouds,10.1815,119.236,Peace and Love Beach Club
375,Tigzirt,DZ,74.07,scattered clouds,36.8886,4.1198,Bloc D tazoumbirt (amar)
380,Sola,VU,77.0,few clouds,-13.8833,167.55,Leumerus Bungalows
381,Soe,ID,61.88,scattered clouds,-9.8607,124.28399999999999,Dena Hotel
383,Tabuk,PH,71.1,few clouds,17.4189,121.4443,Golden Berries Hotel and Convention
385,Kampene,CD,71.22,overcast clouds,-3.6,26.6667,
386,Ocampo,MX,70.09,broken clouds,21.65,-101.5,Hotel Estancia del Vaquero
388,Tibati,CM,77.22,overcast clouds,6.4667,12.6333,Tibati Hotel
389,Vanimo,PG,74.73,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
390,Marsa Matruh,EG,68.0,scattered clouds,31.3525,27.2453,Beau Site
392,Cockburn Town,TC,78.64,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
395,Qujing,CN,61.14,clear sky,25.4833,103.7833,Yulong Hotel
396,Barahona,DO,82.4,scattered clouds,18.2085,-71.1008,Hotel Caribe
398,Mareeba,AU,75.2,broken clouds,-17.0,145.4333,Trinity Plains Tourist Park
402,Thaton,MM,83.55,overcast clouds,16.9206,97.3714,Tain Pyar Guest House
403,Nkhotakota,MW,73.45,broken clouds,-12.9274,34.2961,Sitima Inn
406,Tadine,NC,73.04,overcast clouds,-21.55,167.8833,
408,Bayburt,TR,61.86,overcast clouds,40.2589,40.2278,Bayburt Otel Konaklama
409,Ondarroa,ES,71.01,overcast clouds,43.3167,-2.4167,Hotel Arbe
414,Surt,LY,64.81,clear sky,31.2089,16.5887,الهادي ابوشعاله سرت
417,Boende,CD,79.74,broken clouds,-0.2167,20.8667,
421,Kruisfontein,ZA,72.79,overcast clouds,-34.0033,24.7314,Oyster Bay House Rental
422,Yulara,AU,60.8,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
423,Tukrah,LY,62.91,clear sky,32.5341,20.5791,Lokta restaurant
424,Sao Filipe,CV,72.43,overcast clouds,14.8961,-24.4956,Tortuga B&B
425,Santa Cruz,BO,75.2,broken clouds,-17.8,-63.1667,Aviador Hotel Boutique
427,Vao,NC,73.42,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
433,Veraval,IN,82.04,clear sky,20.9,70.3667,Lords Inn Somnath
435,Betafo,MG,60.85,light rain,-19.8333,46.85,CHEZ MALALA
439,Midland,US,75.0,clear sky,31.9974,-102.0779,DoubleTree by Hilton Hotel Midland Plaza
440,Jalalabad,AF,80.37,clear sky,34.4265,70.4515,انصاف چهاردهي هوټل
442,Yabelo,ET,61.12,moderate rain,4.8833,38.0833,Asnakech W/michael
445,Padang,ID,78.84,overcast clouds,-0.9492,100.3543,Mercure Padang
446,Alugan,PH,78.66,overcast clouds,12.2188,125.4808,JM Lodge
448,Marsala,IT,66.2,few clouds,37.7966,12.4352,Villa Favorita Hotel e Resort
452,Hervey Bay,AU,62.01,clear sky,-25.2986,152.8535,Shelly Bay Resort
453,Begoro,GH,84.27,overcast clouds,6.3871,-0.3774,Sweet Memories Hotel
454,Buala,SB,79.9,broken clouds,-8.145,159.5921,Maringe Lagoon Lodge
455,Dingle,PH,77.02,light rain,10.9995,122.6711,SEGAYA PROPERTY
456,Ambovombe,MG,75.06,clear sky,-25.1667,46.0833,RELAHARA
457,Pasni,PK,81.41,scattered clouds,25.2631,63.471000000000004,Kashmiri Hotal
459,Mahon,ES,62.6,clear sky,39.8885,4.2658,ARTIEM Capri
462,Komsomolskiy,UZ,69.8,scattered clouds,40.4272,71.7189,Ikathouse
464,Jadu,LY,77.85,scattered clouds,31.953000000000003,12.0261,سيفاو عبازة
465,Beeville,US,80.6,clear sky,28.4008,-97.7483,Holiday Inn Express & Suites Beeville
468,Sao Jose Da Coroa Grande,BR,82.8,scattered clouds,-8.8978,-35.1478,Crôa Mares Hotel
469,Villaviciosa,ES,66.0,overcast clouds,43.4813,-5.4357,Hotel Carlos I
475,Quang Ngai,VN,77.59,scattered clouds,15.1167,108.8,Central Hotel
477,Hualmay,PE,71.11,broken clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
479,Corinth,GR,64.0,clear sky,37.9407,22.9573,Ephira Hotel
482,Gold Coast,AU,61.0,clear sky,-28.0,153.4333,Mantra Towers of Chevron Surfers Paradise
483,Adeje,ES,72.0,broken clouds,28.1227,-16.726,Gran Tacande Wellness & Relax
485,Salalah,OM,84.2,scattered clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
486,Huejuquilla El Alto,MX,73.81,broken clouds,22.6,-103.8667,Hotel Huexuquillan
487,Ajdabiya,LY,73.08,clear sky,30.7554,20.2263,Almadina Hotel
