City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
119,Mwense,ZM,2021-04-25 16:15:12,-10.3845,28.698,73.89,70,97,3.91,overcast clouds
120,Fuxin,CN,2021-04-25 16:13:26,42.0156,121.6589,55.15,20,100,1.95,overcast clouds
121,Marawi,PH,2021-04-25 16:13:51,7.9986,124.2928,79.0,87,77,1.01,broken clouds
122,Nanortalik,GL,2021-04-25 16:13:30,60.1432,-45.2371,43.07,72,100,17.13,overcast clouds
123,Preobrazheniye,RU,2021-04-25 16:12:12,42.9019,133.9064,35.96,59,0,2.8,clear sky
124,Xinzhi,CN,2021-04-25 16:15:12,36.4989,111.7047,57.02,70,100,5.03,overcast clouds
125,Chengde,CN,2021-04-25 16:15:13,40.9725,117.9361,53.38,41,100,3.94,overcast clouds
126,Port Alfred,ZA,2021-04-25 16:12:20,-33.5906,26.891,71.85,65,99,14.43,overcast clouds
127,Naziya,RU,2021-04-25 16:15:13,59.8,31.3833,37.99,72,100,7.7,overcast clouds
128,Jayuya,PR,2021-04-25 16:15:14,18.2186,-66.5916,87.01,61,71,8.01,broken clouds
129,Luis Correia,BR,2021-04-25 16:15:14,-2.8792,-41.6669,87.8,70,20,16.11,few clouds
130,Maningrida,AU,2021-04-25 16:15:14,-12.0667,134.2667,76.89,82,100,5.75,overcast clouds
131,Ninghai,CN,2021-04-25 16:15:15,29.2892,121.4247,62.6,88,0,4.47,clear sky
132,Tilichiki,RU,2021-04-25 16:15:15,60.4667,166.1,25.27,96,100,3.49,light snow
133,Port Lincoln,AU,2021-04-25 16:12:35,-34.7333,135.8667,59.83,73,58,8.57,broken clouds
134,Sao Borja,BR,2021-04-25 16:15:15,-28.6606,-56.0044,72.05,56,32,9.73,scattered clouds
135,Codrington,AU,2021-04-25 16:12:12,-38.2667,141.9667,52.11,88,34,5.82,scattered clouds
136,Vestmanna,FO,2021-04-25 16:15:16,62.1564,-7.1664,48.2,81,100,12.66,overcast clouds
137,Alofi,NU,2021-04-25 16:11:48,-19.0595,-169.9187,69.8,100,94,1.14,light rain
138,Cabo San Lucas,MX,2021-04-25 16:15:16,22.8909,-109.9124,79.0,33,20,3.44,few clouds
139,Vestmannaeyjar,IS,2021-04-25 16:13:53,63.4427,-20.2734,46.4,87,40,11.5,scattered clouds
140,Pevek,RU,2021-04-25 16:12:34,69.7008,170.3133,18.91,95,100,11.72,light snow
141,Boundiali,CI,2021-04-25 16:15:17,9.5217,-6.4869,100.51,22,38,4.05,scattered clouds
142,Novo Aripuana,BR,2021-04-25 16:15:17,-5.1206,-60.3797,89.69,63,61,2.48,broken clouds
143,Sitka,US,2021-04-25 16:13:51,57.0531,-135.33,48.2,57,1,4.61,clear sky
144,Yar-Sale,RU,2021-04-25 16:15:18,66.8333,70.8333,32.11,96,100,10.07,overcast clouds
145,Tuktoyaktuk,CA,2021-04-25 16:11:59,69.4541,-133.0374,10.4,85,90,9.22,light snow
146,Pointe Michel,DM,2021-04-25 16:15:18,15.25,-61.3833,86.0,54,40,8.05,scattered clouds
147,Dawlatabad,AF,2021-04-25 16:15:18,36.4141,64.9053,77.72,16,64,4.94,broken clouds
148,Bathsheba,BB,2021-04-25 16:12:47,13.2167,-59.5167,84.2,51,40,24.16,scattered clouds
149,Patos,BR,2021-04-25 16:15:19,-7.0244,-37.28,93.07,29,75,6.62,broken clouds
150,Severo-Kurilsk,RU,2021-04-25 16:11:55,50.6789,156.125,31.62,97,100,9.62,snow
151,Iqaluit,CA,2021-04-25 16:12:51,63.7506,-68.5145,33.8,86,75,3.44,broken clouds
152,Ribeira Grande,PT,2021-04-25 16:12:27,38.5167,-28.7,66.2,63,40,6.91,scattered clouds
153,Locri,IT,2021-04-25 16:14:15,38.2414,16.2623,68.0,37,75,12.66,broken clouds
154,Chauk,MM,2021-04-25 16:15:20,20.8833,94.8167,91.76,37,2,11.52,clear sky
